scenario,s,t,u,v,both,baseline_m,scenario_m,delta_m
closure,0,100,27,540,TRUE,629.8832768,819.9383605,190.0550837
reversal,0,100,27,540,FALSE,629.8832768,819.9383605,190.0550837
closure,8,67,27,540,TRUE,626.81892,816.8740037,190.0550837
reversal,8,67,27,540,FALSE,626.81892,816.8740037,190.0550837
closure,0,100,0,8,TRUE,629.8832768,677.3405941,47.45731728
reversal,0,100,0,8,FALSE,629.8832768,677.3405941,47.45731728
closure,11,861,11,861,TRUE,12.86624065,38.95917725,26.09293659
reversal,11,861,11,861,FALSE,12.86624065,38.95917725,26.09293659
closure,67,100,67,100,TRUE,0.616652372,15.61788299,15.00123061
reversal,67,100,67,100,FALSE,0.616652372,15.61788299,15.00123061
closure,50,900,45,789,TRUE,1432.020092,1445.839371,13.81927888
reversal,50,900,45,789,FALSE,1432.020092,1445.839371,13.81927888
closure,50,900,50,45,TRUE,1432.020092,1443.923349,11.90325661
reversal,50,900,50,45,FALSE,1432.020092,1443.923349,11.90325661
closure,50,900,898,485,TRUE,1432.020092,1439.688949,7.668857236
reversal,50,900,898,485,FALSE,1432.020092,1439.688949,7.668857236
closure,50,900,485,791,TRUE,1432.020092,1439.688949,7.668857236
reversal,50,900,485,791,FALSE,1432.020092,1439.688949,7.668857236
closure,50,900,789,1137,TRUE,1432.020092,1438.574149,6.554056883
reversal,50,900,789,1137,FALSE,1432.020092,1438.574149,6.554056883
closure,50,900,791,926,TRUE,1432.020092,1436.560898,4.540805645
reversal,50,900,791,926,FALSE,1432.020092,1436.560898,4.540805645
closure,50,900,926,796,TRUE,1432.020092,1436.560898,4.540805645
reversal,50,900,926,796,FALSE,1432.020092,1436.560898,4.540805645
closure,50,900,796,751,TRUE,1432.020092,1436.560898,4.540805645
reversal,50,900,796,751,FALSE,1432.020092,1436.560898,4.540805645
closure,0,100,7,2,TRUE,629.8832768,634.3476577,4.464380857
reversal,0,100,7,2,FALSE,629.8832768,634.3476577,4.464380857
closure,0,100,2,936,TRUE,629.8832768,634.3476577,4.464380857
reversal,0,100,2,936,FALSE,629.8832768,634.3476577,4.464380857
closure,0,100,936,27,TRUE,629.8832768,634.3476577,4.464380857
reversal,0,100,936,27,FALSE,629.8832768,634.3476577,4.464380857
closure,8,67,7,2,TRUE,626.81892,631.2833009,4.464380857
reversal,8,67,7,2,FALSE,626.81892,631.2833009,4.464380857
closure,8,67,2,936,TRUE,626.81892,631.2833009,4.464380857
reversal,8,67,2,936,FALSE,626.81892,631.2833009,4.464380857
closure,8,67,936,27,TRUE,626.81892,631.2833009,4.464380857
reversal,8,67,936,27,FALSE,626.81892,631.2833009,4.464380857
closure,50,900,1137,898,TRUE,1432.020092,1435.677917,3.657825031
reversal,50,900,1137,898,FALSE,1432.020092,1435.677917,3.657825031
closure,50,900,751,752,TRUE,1432.020092,1433.928232,1.908139633
reversal,50,900,751,752,FALSE,1432.020092,1433.928232,1.908139633
closure,8,67,540,539,TRUE,626.81892,627.8077773,0.988857313
reversal,8,67,540,539,FALSE,626.81892,627.8077773,0.988857313
closure,0,100,8,11,TRUE,629.8832768,630.2274629,0.344186095
reversal,0,100,8,11,FALSE,629.8832768,630.2274629,0.344186095
closure,0,100,11,861,TRUE,629.8832768,630.2274629,0.344186095
reversal,0,100,11,861,FALSE,629.8832768,630.2274629,0.344186095
closure,8,67,8,11,TRUE,626.81892,627.1631061,0.344186095
reversal,8,67,8,11,FALSE,626.81892,627.1631061,0.344186095
closure,8,67,11,861,TRUE,626.81892,627.1631061,0.344186095
reversal,8,67,11,861,FALSE,626.81892,627.1631061,0.344186095
closure,0,100,861,6,TRUE,629.8832768,629.9109993,0.027722489
reversal,0,100,861,6,FALSE,629.8832768,629.9109993,0.027722489
closure,0,100,6,249,TRUE,629.8832768,629.9109993,0.027722489
reversal,0,100,6,249,FALSE,629.8832768,629.9109993,0.027722489
closure,0,100,249,7,TRUE,629.8832768,629.9109993,0.027722489
reversal,0,100,249,7,FALSE,629.8832768,629.9109993,0.027722489
closure,8,67,861,6,TRUE,626.81892,626.8466425,0.027722489
reversal,8,67,861,6,FALSE,626.81892,626.8466425,0.027722489
closure,8,67,6,249,TRUE,626.81892,626.8466425,0.027722489
reversal,8,67,6,249,FALSE,626.81892,626.8466425,0.027722489
closure,8,67,249,7,TRUE,626.81892,626.8466425,0.027722489
reversal,8,67,249,7,FALSE,626.81892,626.8466425,0.027722489
